Q,r1,r2,r3,r4,r5,r6,r7,r'1,r'2,r'3,r'4,r'5,r'6,r'7,q1,q2,q3,q4,q5,q6,q7,q'1,q'2,q'3,q'4,q'5,q'6,q'7,deltaq1,deltaq2,deltaq3,deltaq4,deltaq5,deltaq6,deltaq7,p6,p4,p3,p5,p2,p1,p'6,p'4,p'3,p'5,p'2,p'1,deltap6,deltap4,deltap3,deltap5,deltap2,deltap1,h1,h2,h3,h4,h5,h6,h7,h'1,h'2,h'3,h'4,h'5,h'6,h'7,deltah1,deltah2,deltah3,deltah4,deltah5,deltah6,deltah7,r0,delta_r0,ei
20.067294,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.478698,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.067294,10.054026,10.013268,8.032953,2.021073,12.034341,20.067294,0.009841,0.025345,-0.015504,0.010082,0.015264,-0.000241,0.009841,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.022989,-351.542180,-300.482973,-602.973502,-151.011105,0.000000,-0.000392,0.473404,1.241711,0.483464,-0.148072,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.011105,149.471868,200.531075,302.476531,51.059208,251.431322,201.348140,0.148072,-1.389783,-0.621476,0.758754,0.768307,-0.010060,0.197430,1.500000,-0.021302,2.000000
20.079688,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.452096,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.079688,10.085949,9.993739,8.045692,2.040258,12.033996,20.079688,0.022235,0.057269,-0.035034,0.022821,0.034448,-0.000586,0.022235,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.022505,-350.947319,-298.914186,-602.364221,-151.197698,0.000000,-0.000876,1.068264,2.810498,1.092745,-0.334665,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.197698,147.716488,199.749622,303.436662,52.033134,251.416901,201.596931,0.334665,-3.145164,-1.402930,1.718884,1.742234,-0.024481,0.446221,1.500000,-0.047904,2.000000
20.123338,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.360380,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.123338,10.198409,9.924929,8.090925,2.107484,12.032413,20.123338,0.065885,0.169728,-0.103843,0.068054,0.101675,-0.002169,0.065885,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.020906,-348.864218,-293.345604,-600.214987,-151.855777,0.000000,-0.002475,3.151366,8.379080,3.241979,-0.992744,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.855777,141.489827,197.008441,306.858117,55.518614,251.350770,202.474369,0.992744,-9.371824,-4.144111,5.140339,5.227713,-0.090612,1.323659,1.500000,-0.139620,2.000000
20.128331,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.350081,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.128331,10.211277,9.917055,8.096135,2.115141,12.032196,20.128331,0.070878,0.182596,-0.111718,0.073264,0.109332,-0.002386,0.070878,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.020735,-348.627097,-292.704308,-599.968797,-151.931146,0.000000,-0.002646,3.388487,9.020376,3.488169,-1.068113,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.931146,140.773162,196.695952,307.253455,55.922790,251.341700,202.574861,1.068113,-10.088490,-4.456600,5.535677,5.631889,-0.099683,1.424151,1.500000,-0.149919,2.000000
20.057832,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.499176,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.057832,10.029657,10.028175,8.023259,2.006398,12.034573,20.057832,0.000379,0.000977,-0.000598,0.000388,0.000589,-0.000009,0.000379,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.023367,-351.997321,-301.676892,-603.438338,-150.868738,0.000000,-0.000015,0.018263,0.047792,0.018628,-0.005705,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,150.868738,150.808155,201.128583,301.746961,50.320429,251.441017,201.158317,0.005705,-0.053497,-0.023968,0.029183,0.029529,-0.000365,0.007607,1.500000,-0.000824,2.000000
20.102634,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.403504,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.102634,10.145062,9.957573,8.069399,2.075662,12.033235,20.102634,0.045181,0.116381,-0.071200,0.046528,0.069853,-0.001347,0.045181,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.021643,-349.849968,-295.995295,-601.235063,-151.543462,0.000000,-0.001739,2.165616,5.729389,2.221903,-0.680430,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.543462,144.451833,198.306505,305.227520,53.854673,251.385096,202.057950,0.680430,-6.409819,-2.846046,3.509742,3.563772,-0.056286,0.907240,1.500000,-0.096496,2.000000
20.058056,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.498690,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.058056,10.030234,10.027822,8.023488,2.006746,12.034568,20.058056,0.000603,0.001553,-0.000950,0.000617,0.000936,-0.000014,0.000603,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.023358,-351.986546,-301.648693,-603.427348,-150.872104,0.000000,-0.000024,0.029037,0.075991,0.029618,-0.009072,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,150.872104,150.776589,201.114442,301.764182,50.337854,251.440801,201.162805,0.009072,-0.085063,-0.038109,0.046404,0.046954,-0.000581,0.012095,1.500000,-0.001310,2.000000
20.122192,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.362750,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.122192,10.195456,9.926736,8.089730,2.105726,12.032462,20.122192,0.064739,0.166775,-0.102036,0.066859,0.099916,-0.002120,0.064739,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.020946,-348.918668,-293.492652,-600.271476,-151.838483,0.000000,-0.002436,3.096916,8.232032,3.185490,-0.975451,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.838483,141.654169,197.080185,306.767504,55.426017,251.352808,202.451311,0.975451,-9.207483,-4.072366,5.049726,5.135116,-0.088574,1.300601,1.500000,-0.137250,2.000000
20.100561,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.407859,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.100561,10.139721,9.960840,8.067251,2.072470,12.033310,20.100561,0.043108,0.111041,-0.067932,0.044380,0.066661,-0.001272,0.043108,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.021719,-349.948881,-296.259728,-601.337121,-151.512213,0.000000,-0.001663,2.066703,5.464956,2.119845,-0.649181,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.512213,144.747515,198.436668,305.065045,53.689154,251.388240,202.016284,0.649181,-6.114137,-2.715883,3.347267,3.398253,-0.053143,0.865574,1.500000,-0.092141,2.000000
20.079892,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.451661,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.079892,10.086475,9.993417,8.045902,2.040573,12.033990,20.079892,0.022439,0.057794,-0.035355,0.023031,0.034763,-0.000592,0.022439,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.022498,-350.937542,-298.888320,-602.354189,-151.200770,0.000000,-0.000884,1.078042,2.836364,1.102777,-0.337737,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.200770,147.687550,199.736772,303.452507,52.049222,251.416648,201.601027,0.337737,-3.174102,-1.415780,1.734729,1.758322,-0.024734,0.450317,1.500000,-0.048339,2.000000
